Year,0-14 years old,15-24 years old,25-44 years old,45-64 years old,65 and over
2013,,,,,
2014,0.36291048778107626,0.7001871189714404,-0.968136228687877,1.5629465477902782,3.566145337376536
2015,0.4199431387566621,0.773594818254586,-0.4769338666390066,1.817150185211669,3.526134721213814
2016,0.3772567771948898,0.5400535330032818,0.06490024710643638,2.216219595846658,3.2079243613482467
2017,0.4845427674632363,2.14321633834873,0.12386551743821528,2.6427929992402843,3.5819810207875946
2018,0.40322421008041065,3.788325321031527,-0.034776263205005264,2.0864335183584215,3.6815918872852516
2019,0.1093224766617773,2.388666758582647,0.23125705747493175,2.5146803900783388,3.68775935910306
2020,-0.18591112699758439,2.2632072522663416,0.42695225929791913,2.3460420237624735,3.5277997981099984
2021,-0.5967537150360469,0.3812372339608405,-0.007931927068760558,2.1922783229086917,2.9381020912665257
2022,0.6639526320908473,1.462001546017433,1.5789328303714933,2.9275840547153598,4.528737077713663
2023,-0.26156175933557124,2.6931725659017802,1.6404312939096277,2.627673324328339,3.199415332670341
