"STATISTIC","Statistic Label","TLIST(A1)","Year","C03894V04645","Scheduled services","UNIT","VALUE"
"TOA16C01","Passengers","2015","2015","10","Dublin city services","Number (000)","122093"
"TOA16C01","Passengers","2016","2016","10","Dublin city services","Number (000)","125377"
"TOA16C01","Passengers","2017","2017","10","Dublin city services","Number (000)","138978"
"TOA16C01","Passengers","2018","2018","10","Dublin city services","Number (000)","143104"
"TOA16C01","Passengers","2019","2019","10","Dublin city services","Number (000)","138311"
"TOA16C01","Passengers","2020","2020","10","Dublin city services","Number (000)","68927"
"TOA16C01","Passengers","2021","2021","10","Dublin city services","Number (000)","69929"
"TOA16C01","Passengers","2022","2022","10","Dublin city services","Number (000)","121378"
"TOA16C02","Vehicle kilometers","2015","2015","10","Dublin city services","km (000)","54784"
"TOA16C02","Vehicle kilometers","2016","2016","10","Dublin city services","km (000)","55320"
"TOA16C02","Vehicle kilometers","2017","2017","10","Dublin city services","km (000)","57350"
"TOA16C02","Vehicle kilometers","2018","2018","10","Dublin city services","km (000)","54906"
"TOA16C02","Vehicle kilometers","2019","2019","10","Dublin city services","km (000)","43421"
"TOA16C02","Vehicle kilometers","2020","2020","10","Dublin city services","km (000)","42860"
"TOA16C02","Vehicle kilometers","2021","2021","10","Dublin city services","km (000)","42755"
"TOA16C02","Vehicle kilometers","2022","2022","10","Dublin city services","km (000)","46172"
