"Statistic Label","Year","Scheduled services","UNIT","VALUE"
"Passengers","2011","Dublin city services","Number (000)","116958"
"Passengers","2011","Provincial city and town services","Number (000)","16389"
"Passengers","2011","Other scheduled services","Number (000)","20112"
"Passengers","2011","School transport scheme","Number (000)","41814"
"Passengers","2012","Dublin city services","Number (000)","115198"
"Passengers","2012","Provincial city and town services","Number (000)","16728"
"Passengers","2012","Other scheduled services","Number (000)","20046"
"Passengers","2012","School transport scheme","Number (000)","40398"
"Passengers","2013","Dublin city services","Number (000)","114268"
"Passengers","2013","Provincial city and town services","Number (000)","17651"
"Passengers","2013","Other scheduled services","Number (000)","18076"
"Passengers","2013","School transport scheme","Number (000)","41116"
"Passengers","2014","Dublin city services","Number (000)","116262"
"Passengers","2014","Provincial city and town services","Number (000)","18641"
"Passengers","2014","Other scheduled services","Number (000)","18547"
"Passengers","2014","School transport scheme","Number (000)","43940"
"Passengers","2015","Dublin city services","Number (000)","122093"
"Passengers","2015","Provincial city and town services","Number (000)","19352"
"Passengers","2015","Other scheduled services","Number (000)","18509"
"Passengers","2015","School transport scheme","Number (000)","41040"
"Passengers","2016","Dublin city services","Number (000)","125377"
"Passengers","2016","Provincial city and town services","Number (000)","20578"
"Passengers","2016","Other scheduled services","Number (000)","19108"
"Passengers","2016","School transport scheme","Number (000)","40508"
"Passengers","2017","Dublin city services","Number (000)","138978"
"Passengers","2017","Provincial city and town services","Number (000)","20178"
"Passengers","2017","Other scheduled services","Number (000)","17683"
"Passengers","2017","School transport scheme","Number (000)","40766"
"Passengers","2018","Dublin city services","Number (000)","143104"
"Passengers","2018","Provincial city and town services","Number (000)","22995"
"Passengers","2018","Other scheduled services","Number (000)","19070"
"Passengers","2018","School transport scheme","Number (000)","41576"
"Passengers","2019","Dublin city services","Number (000)","138311"
"Passengers","2019","Provincial city and town services","Number (000)","26699"
"Passengers","2019","Other scheduled services","Number (000)","20074"
"Passengers","2019","School transport scheme","Number (000)","42614"
"Passengers","2020","Dublin city services","Number (000)","68927"
"Passengers","2020","Provincial city and town services","Number (000)","13551"
"Passengers","2020","Other scheduled services","Number (000)","9017"
"Passengers","2020","School transport scheme","Number (000)","28730"
"Passengers","2021","Dublin city services","Number (000)","69929"
"Passengers","2021","Provincial city and town services","Number (000)","10530"
"Passengers","2021","Other scheduled services","Number (000)","8152"
"Passengers","2021","School transport scheme","Number (000)","30030"
"Passengers","2022","Dublin city services","Number (000)","121378"
"Passengers","2022","Provincial city and town services","Number (000)","28773"
"Passengers","2022","Other scheduled services","Number (000)","12677"
"Passengers","2022","School transport scheme","Number (000)","48700"
"Vehicle kilometers","2011","Dublin city services","km (000)","53900"
"Vehicle kilometers","2011","Provincial city and town services","km (000)","8061"
"Vehicle kilometers","2011","Other scheduled services","km (000)","82409"
"Vehicle kilometers","2011","School transport scheme","km (000)",""
"Vehicle kilometers","2012","Dublin city services","km (000)","52100"
"Vehicle kilometers","2012","Provincial city and town services","km (000)","7805"
"Vehicle kilometers","2012","Other scheduled services","km (000)","82633"
"Vehicle kilometers","2012","School transport scheme","km (000)",""
"Vehicle kilometers","2013","Dublin city services","km (000)","50137"
"Vehicle kilometers","2013","Provincial city and town services","km (000)","7664"
"Vehicle kilometers","2013","Other scheduled services","km (000)","71171"
"Vehicle kilometers","2013","School transport scheme","km (000)",""
"Vehicle kilometers","2014","Dublin city services","km (000)","48714"
"Vehicle kilometers","2014","Provincial city and town services","km (000)","7946"
"Vehicle kilometers","2014","Other scheduled services","km (000)","70804"
"Vehicle kilometers","2014","School transport scheme","km (000)",""
"Vehicle kilometers","2015","Dublin city services","km (000)","54784"
"Vehicle kilometers","2015","Provincial city and town services","km (000)","8360"
"Vehicle kilometers","2015","Other scheduled services","km (000)","69390"
"Vehicle kilometers","2015","School transport scheme","km (000)",""
"Vehicle kilometers","2016","Dublin city services","km (000)","55320"
"Vehicle kilometers","2016","Provincial city and town services","km (000)","8968"
"Vehicle kilometers","2016","Other scheduled services","km (000)","71400"
"Vehicle kilometers","2016","School transport scheme","km (000)",""
"Vehicle kilometers","2017","Dublin city services","km (000)","57350"
"Vehicle kilometers","2017","Provincial city and town services","km (000)","9266"
"Vehicle kilometers","2017","Other scheduled services","km (000)","67031"
"Vehicle kilometers","2017","School transport scheme","km (000)",""
"Vehicle kilometers","2018","Dublin city services","km (000)","54906"
"Vehicle kilometers","2018","Provincial city and town services","km (000)","10176"
"Vehicle kilometers","2018","Other scheduled services","km (000)","74155"
"Vehicle kilometers","2018","School transport scheme","km (000)",""
"Vehicle kilometers","2019","Dublin city services","km (000)","43421"
"Vehicle kilometers","2019","Provincial city and town services","km (000)","12408"
"Vehicle kilometers","2019","Other scheduled services","km (000)","69876"
"Vehicle kilometers","2019","School transport scheme","km (000)",""
"Vehicle kilometers","2020","Dublin city services","km (000)","42860"
"Vehicle kilometers","2020","Provincial city and town services","km (000)","13256"
"Vehicle kilometers","2020","Other scheduled services","km (000)","61408"
"Vehicle kilometers","2020","School transport scheme","km (000)",""
"Vehicle kilometers","2021","Dublin city services","km (000)","42755"
"Vehicle kilometers","2021","Provincial city and town services","km (000)","13967"
"Vehicle kilometers","2021","Other scheduled services","km (000)","58845"
"Vehicle kilometers","2021","School transport scheme","km (000)",""
"Vehicle kilometers","2022","Dublin city services","km (000)","46172"
"Vehicle kilometers","2022","Provincial city and town services","km (000)","13918"
"Vehicle kilometers","2022","Other scheduled services","km (000)","63665"
"Vehicle kilometers","2022","School transport scheme","km (000)",""
