STATISTIC Label,Year,Single Year of Age,GenderCode,Sex,UNIT,VALUE,Age Group,Previous_Year_Population,Inward or Outward Flow_Immigrants: All origins,Inward or Outward Flow_Net migration,VALUE_Population,Migration_Rate
Population estimates from 1926,1996,0,1,Male,Number,25231,0-14 years old,26298.5,,,,
Population estimates from 1926,1996,0,2,Female,Number,23623,0-14 years old,26298.5,,,,
Population estimates from 1926,1996,1,1,Male,Number,24963,0-14 years old,25231.0,,,,
Population estimates from 1926,1996,1,2,Female,Number,23611,0-14 years old,23623.0,,,,
Population estimates from 1926,1996,2,1,Male,Number,25245,0-14 years old,24963.0,,,,
Population estimates from 1926,1996,2,2,Female,Number,23766,0-14 years old,23611.0,,,,
Population estimates from 1926,1996,3,1,Male,Number,26005,0-14 years old,25245.0,,,,
Population estimates from 1926,1996,3,2,Female,Number,24558,0-14 years old,23766.0,,,,
Population estimates from 1926,1996,4,1,Male,Number,27296,0-14 years old,26005.0,,,,
Population estimates from 1926,1996,4,2,Female,Number,26096,0-14 years old,24558.0,,,,
Population estimates from 1926,1996,5,1,Male,Number,28501,0-14 years old,27296.0,,,,
Population estimates from 1926,1996,5,2,Female,Number,26662,0-14 years old,26096.0,,,,
Population estimates from 1926,1996,6,1,Male,Number,28271,0-14 years old,28501.0,,,,
Population estimates from 1926,1996,6,2,Female,Number,26922,0-14 years old,26662.0,,,,
Population estimates from 1926,1996,7,1,Male,Number,28190,0-14 years old,28271.0,,,,
Population estimates from 1926,1996,7,2,Female,Number,26758,0-14 years old,26922.0,,,,
Population estimates from 1926,1996,8,1,Male,Number,29196,0-14 years old,28190.0,,,,
Population estimates from 1926,1996,8,2,Female,Number,28115,0-14 years old,26758.0,,,,
Population estimates from 1926,1996,9,1,Male,Number,31177,0-14 years old,29196.0,,,,
Population estimates from 1926,1996,9,2,Female,Number,29151,0-14 years old,28115.0,,,,
Population estimates from 1926,1996,10,1,Male,Number,31476,0-14 years old,31177.0,,,,
Population estimates from 1926,1996,10,2,Female,Number,29942,0-14 years old,29151.0,,,,
Population estimates from 1926,1996,11,1,Male,Number,32124,0-14 years old,31476.0,,,,
Population estimates from 1926,1996,11,2,Female,Number,30186,0-14 years old,29942.0,,,,
Population estimates from 1926,1996,12,1,Male,Number,33186,0-14 years old,32124.0,,,,
Population estimates from 1926,1996,12,2,Female,Number,31501,0-14 years old,30186.0,,,,
Population estimates from 1926,1996,13,1,Male,Number,34820,0-14 years old,33186.0,,,,
Population estimates from 1926,1996,13,2,Female,Number,33098,0-14 years old,31501.0,,,,
Population estimates from 1926,1996,14,1,Male,Number,35771,0-14 years old,34820.0,,,,
Population estimates from 1926,1996,14,2,Female,Number,33983,0-14 years old,33098.0,,,,
Population estimates from 1926,1996,15,1,Male,Number,36884,15-24 years old,26298.5,,,,
Population estimates from 1926,1996,15,2,Female,Number,34848,15-24 years old,26298.5,,,,
Population estimates from 1926,1996,16,1,Male,Number,37068,15-24 years old,36884.0,,,,
Population estimates from 1926,1996,16,2,Female,Number,34816,15-24 years old,34848.0,,,,
Population estimates from 1926,1996,17,1,Male,Number,34985,15-24 years old,37068.0,,,,
Population estimates from 1926,1996,17,2,Female,Number,33947,15-24 years old,34816.0,,,,
Population estimates from 1926,1996,18,1,Male,Number,33339,15-24 years old,34985.0,,,,
Population estimates from 1926,1996,18,2,Female,Number,31746,15-24 years old,33947.0,,,,
