STATISTIC Label,Year,Age Group,Sex,Inward or Outward Flow,UNIT,VALUE
Estimated Migration (Persons in April),1996,0 - 14 years,Male,Net migration,Thousand,
Estimated Migration (Persons in April),1996,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.4
Estimated Migration (Persons in April),1996,0 - 14 years,Male,Immigrants: All origins,Thousand,3.1
Estimated Migration (Persons in April),1996,0 - 14 years,Female,Net migration,Thousand,
Estimated Migration (Persons in April),1996,0 - 14 years,Female,Emigrants: All destinations,Thousand,0.6
Estimated Migration (Persons in April),1996,0 - 14 years,Female,Immigrants: All origins,Thousand,3.6
Estimated Migration (Persons in April),1996,15 - 24 years,Male,Net migration,Thousand,
Estimated Migration (Persons in April),1996,15 - 24 years,Male,Emigrants: All destinations,Thousand,9.8
Estimated Migration (Persons in April),1996,15 - 24 years,Male,Immigrants: All origins,Thousand,4.2
Estimated Migration (Persons in April),1996,15 - 24 years,Female,Net migration,Thousand,
Estimated Migration (Persons in April),1996,15 - 24 years,Female,Emigrants: All destinations,Thousand,11.7
Estimated Migration (Persons in April),1996,15 - 24 years,Female,Immigrants: All origins,Thousand,6.7
Estimated Migration (Persons in April),1996,25 - 44 years,Male,Net migration,Thousand,
Estimated Migration (Persons in April),1996,25 - 44 years,Male,Emigrants: All destinations,Thousand,5.1
Estimated Migration (Persons in April),1996,25 - 44 years,Male,Immigrants: All origins,Thousand,8.7
Estimated Migration (Persons in April),1996,25 - 44 years,Female,Net migration,Thousand,
Estimated Migration (Persons in April),1996,25 - 44 years,Female,Emigrants: All destinations,Thousand,3.0
Estimated Migration (Persons in April),1996,25 - 44 years,Female,Immigrants: All origins,Thousand,8.1
Estimated Migration (Persons in April),1996,45 - 64 years,Male,Net migration,Thousand,
Estimated Migration (Persons in April),1996,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1996,45 - 64 years,Male,Immigrants: All origins,Thousand,2.2
Estimated Migration (Persons in April),1996,45 - 64 years,Female,Net migration,Thousand,
Estimated Migration (Persons in April),1996,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.7
Estimated Migration (Persons in April),1996,45 - 64 years,Female,Immigrants: All origins,Thousand,1.3
Estimated Migration (Persons in April),1996,65 years and over,Male,Net migration,Thousand,
Estimated Migration (Persons in April),1996,65 years and over,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1996,65 years and over,Male,Immigrants: All origins,Thousand,0.6
Estimated Migration (Persons in April),1996,65 years and over,Female,Net migration,Thousand,
Estimated Migration (Persons in April),1996,65 years and over,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1996,65 years and over,Female,Immigrants: All origins,Thousand,0.6
Estimated Migration (Persons in April),1997,0 - 14 years,Male,Net migration,Thousand,
Estimated Migration (Persons in April),1997,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.1
Estimated Migration (Persons in April),1997,0 - 14 years,Male,Immigrants: All origins,Thousand,2.9
Estimated Migration (Persons in April),1997,0 - 14 years,Female,Net migration,Thousand,
Estimated Migration (Persons in April),1997,0 - 14 years,Female,Emigrants: All destinations,Thousand,0.2
Estimated Migration (Persons in April),1997,0 - 14 years,Female,Immigrants: All origins,Thousand,3.5
Estimated Migration (Persons in April),1997,15 - 24 years,Male,Net migration,Thousand,
Estimated Migration (Persons in April),1997,15 - 24 years,Male,Emigrants: All destinations,Thousand,9.0
Estimated Migration (Persons in April),1997,15 - 24 years,Male,Immigrants: All origins,Thousand,5.9
Estimated Migration (Persons in April),1997,15 - 24 years,Female,Net migration,Thousand,
Estimated Migration (Persons in April),1997,15 - 24 years,Female,Emigrants: All destinations,Thousand,10.4
Estimated Migration (Persons in April),1997,15 - 24 years,Female,Immigrants: All origins,Thousand,7.8
Estimated Migration (Persons in April),1997,25 - 44 years,Male,Net migration,Thousand,
Estimated Migration (Persons in April),1997,25 - 44 years,Male,Emigrants: All destinations,Thousand,3.4
Estimated Migration (Persons in April),1997,25 - 44 years,Male,Immigrants: All origins,Thousand,9.6
Estimated Migration (Persons in April),1997,25 - 44 years,Female,Net migration,Thousand,
Estimated Migration (Persons in April),1997,25 - 44 years,Female,Emigrants: All destinations,Thousand,2.2
Estimated Migration (Persons in April),1997,25 - 44 years,Female,Immigrants: All origins,Thousand,8.6
Estimated Migration (Persons in April),1997,45 - 64 years,Male,Net migration,Thousand,
Estimated Migration (Persons in April),1997,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1997,45 - 64 years,Male,Immigrants: All origins,Thousand,2.7
Estimated Migration (Persons in April),1997,45 - 64 years,Female,Net migration,Thousand,
Estimated Migration (Persons in April),1997,45 - 64 years,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1997,45 - 64 years,Female,Immigrants: All origins,Thousand,2.0
Estimated Migration (Persons in April),1997,65 years and over,Male,Net migration,Thousand,
Estimated Migration (Persons in April),1997,65 years and over,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1997,65 years and over,Male,Immigrants: All origins,Thousand,0.8
Estimated Migration (Persons in April),1997,65 years and over,Female,Net migration,Thousand,
Estimated Migration (Persons in April),1997,65 years and over,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1997,65 years and over,Female,Immigrants: All origins,Thousand,0.7
Estimated Migration (Persons in April),1998,0 - 14 years,Male,Net migration,Thousand,
Estimated Migration (Persons in April),1998,0 - 14 years,Male,Emigrants: All destinations,Thousand,0.4
Estimated Migration (Persons in April),1998,0 - 14 years,Male,Immigrants: All origins,Thousand,3.4
Estimated Migration (Persons in April),1998,0 - 14 years,Female,Net migration,Thousand,
Estimated Migration (Persons in April),1998,0 - 14 years,Female,Emigrants: All destinations,Thousand,1.2
Estimated Migration (Persons in April),1998,0 - 14 years,Female,Immigrants: All origins,Thousand,4.1
Estimated Migration (Persons in April),1998,15 - 24 years,Male,Net migration,Thousand,
