Year,Age category,Single Year of Age,UNIT,VALUE,Age Group
2013,200,0,Number,68583,0-14 years old
2013,001,1,Number,71785,0-14 years old
2013,002,2,Number,70638,0-14 years old
2013,003,3,Number,71057,0-14 years old
2013,004,4,Number,70956,0-14 years old
2013,005,5,Number,71923,0-14 years old
2013,006,6,Number,66561,0-14 years old
2013,007,7,Number,65092,0-14 years old
2013,008,8,Number,65035,0-14 years old
2013,009,9,Number,64418,0-14 years old
2013,010,10,Number,63531,0-14 years old
2013,011,11,Number,62233,0-14 years old
2013,012,12,Number,61009,0-14 years old
2013,013,13,Number,60321,0-14 years old
2013,014,14,Number,60767,0-14 years old
2013,015,15,Number,59555,15-24 years old
2013,016,16,Number,58103,15-24 years old
2013,017,17,Number,55957,15-24 years old
2013,018,18,Number,55485,15-24 years old
2013,019,19,Number,55285,15-24 years old
2013,020,20,Number,55635,15-24 years old
2013,021,21,Number,54331,15-24 years old
2013,022,22,Number,56510,15-24 years old
2013,023,23,Number,55930,15-24 years old
2013,024,24,Number,56487,15-24 years old
2013,025,25,Number,58836,25-44 years old
2013,026,26,Number,61342,25-44 years old
2013,027,27,Number,64878,25-44 years old
2013,028,28,Number,66844,25-44 years old
2013,029,29,Number,69940,25-44 years old
2013,030,30,Number,74977,25-44 years old
2013,031,31,Number,77785,25-44 years old
2013,032,32,Number,81150,25-44 years old
2013,033,33,Number,80253,25-44 years old
2013,034,34,Number,77200,25-44 years old
2013,035,35,Number,74791,25-44 years old
2013,036,36,Number,74178,25-44 years old
2013,037,37,Number,73412,25-44 years old
2013,038,38,Number,73109,25-44 years old
2013,039,39,Number,71358,25-44 years old
2013,040,40,Number,71454,25-44 years old
2013,041,41,Number,69743,25-44 years old
2013,042,42,Number,69186,25-44 years old
2013,043,43,Number,67113,25-44 years old
2013,044,44,Number,63532,25-44 years old
2013,045,45,Number,62806,45-64 years old
2013,046,46,Number,62236,45-64 years old
2013,047,47,Number,61962,45-64 years old
2013,048,48,Number,62451,45-64 years old
2013,049,49,Number,60662,45-64 years old
2013,050,50,Number,59038,45-64 years old
2013,051,51,Number,57322,45-64 years old
2013,052,52,Number,57705,45-64 years old
2013,053,53,Number,55396,45-64 years old
2013,054,54,Number,53317,45-64 years old
2013,055,55,Number,52684,45-64 years old
2013,056,56,Number,51499,45-64 years old
2013,057,57,Number,49848,45-64 years old
2013,058,58,Number,49515,45-64 years old
2013,059,59,Number,47581,45-64 years old
2013,060,60,Number,47682,45-64 years old
2013,061,61,Number,45028,45-64 years old
2013,062,62,Number,44183,45-64 years old
2013,063,63,Number,43496,45-64 years old
2013,064,64,Number,42804,45-64 years old
2013,065,65,Number,41988,65 and over
2013,066,66,Number,40246,65 and over
2013,067,67,Number,38736,65 and over
2013,068,68,Number,35470,65 and over
2013,069,69,Number,33585,65 and over
2013,070,70,Number,31561,65 and over
2013,071,71,Number,28378,65 and over
2013,072,72,Number,26901,65 and over
2013,073,73,Number,26545,65 and over
2013,074,74,Number,25301,65 and over
2013,075,75,Number,23301,65 and over
2013,076,76,Number,22472,65 and over
2013,077,77,Number,21363,65 and over
2013,078,78,Number,20118,65 and over
2013,079,79,Number,19100,65 and over
2013,080,80,Number,17121,65 and over
2013,081,81,Number,15793,65 and over
2013,082,82,Number,14903,65 and over
2013,083,83,Number,13435,65 and over
2013,084,84,Number,12130,65 and over
2013,085,85,Number,10509,65 and over
2013,086,86,Number,9262,65 and over
2013,087,87,Number,8011,65 and over
2013,088,88,Number,7284,65 and over
2013,089,89,Number,6241,65 and over
2013,090,90,Number,4858,65 and over
2013,091,91,Number,3469,65 and over
2013,092,92,Number,3041,65 and over
2013,093,93,Number,2285,65 and over
2013,094,94,Number,1637,65 and over
2013,095,95,Number,1181,65 and over
2013,096,96,Number,1011,65 and over
2013,097,97,Number,669,65 and over
2013,098,98,Number,429,65 and over
2013,646,99,Number,852,65 and over
2014,200,0,Number,66935,0-14 years old
2014,001,1,Number,67658,0-14 years old
2014,002,2,Number,70776,0-14 years old
2014,003,3,Number,69914,0-14 years old
2014,004,4,Number,70075,0-14 years old
2014,005,5,Number,72958,0-14 years old
2014,006,6,Number,71172,0-14 years old
2014,007,7,Number,67412,0-14 years old
2014,008,8,Number,65353,0-14 years old
2014,009,9,Number,65207,0-14 years old
2014,010,10,Number,63957,0-14 years old
2014,011,11,Number,63289,0-14 years old
2014,012,12,Number,61999,0-14 years old
2014,013,13,Number,60720,0-14 years old
2014,014,14,Number,60091,0-14 years old
2014,015,15,Number,60993,15-24 years old
2014,016,16,Number,59478,15-24 years old
2014,017,17,Number,58022,15-24 years old
2014,018,18,Number,56673,15-24 years old
2014,019,19,Number,55413,15-24 years old
2014,020,20,Number,54712,15-24 years old
2014,021,21,Number,54666,15-24 years old
2014,022,22,Number,54355,15-24 years old
2014,023,23,Number,56656,15-24 years old
2014,024,24,Number,56254,15-24 years old
2014,025,25,Number,56534,25-44 years old
2014,026,26,Number,57401,25-44 years old
2014,027,27,Number,62336,25-44 years old
2014,028,28,Number,63901,25-44 years old
2014,029,29,Number,65710,25-44 years old
2014,030,30,Number,70047,25-44 years old
2014,031,31,Number,74443,25-44 years old
2014,032,32,Number,77507,25-44 years old
2014,033,33,Number,80691,25-44 years old
2014,034,34,Number,79791,25-44 years old
2014,035,35,Number,76917,25-44 years old
2014,036,36,Number,75490,25-44 years old
2014,037,37,Number,73829,25-44 years old
2014,038,38,Number,73154,25-44 years old
2014,039,39,Number,72211,25-44 years old
2014,040,40,Number,71363,25-44 years old
2014,041,41,Number,71234,25-44 years old
2014,042,42,Number,69407,25-44 years old
2014,043,43,Number,68679,25-44 years old
2014,044,44,Number,66678,25-44 years old
2014,045,45,Number,63577,45-64 years old
2014,046,46,Number,62637,45-64 years old
2014,047,47,Number,62156,45-64 years old
