STATISTIC Label,Year,Single Year of Age,C02199V02655,Sex,UNIT,VALUE,Age Group
Population estimates from 1926,1996,0,1,Male,Number,25231,0-14 years old
Population estimates from 1926,1996,0,2,Female,Number,23623,0-14 years old
Population estimates from 1926,1996,1,1,Male,Number,24963,0-14 years old
Population estimates from 1926,1996,1,2,Female,Number,23611,0-14 years old
Population estimates from 1926,1996,2,1,Male,Number,25245,0-14 years old
Population estimates from 1926,1996,2,2,Female,Number,23766,0-14 years old
Population estimates from 1926,1996,3,1,Male,Number,26005,0-14 years old
Population estimates from 1926,1996,3,2,Female,Number,24558,0-14 years old
Population estimates from 1926,1996,4,1,Male,Number,27296,0-14 years old
Population estimates from 1926,1996,4,2,Female,Number,26096,0-14 years old
Population estimates from 1926,1996,5,1,Male,Number,28501,0-14 years old
Population estimates from 1926,1996,5,2,Female,Number,26662,0-14 years old
Population estimates from 1926,1996,6,1,Male,Number,28271,0-14 years old
Population estimates from 1926,1996,6,2,Female,Number,26922,0-14 years old
Population estimates from 1926,1996,7,1,Male,Number,28190,0-14 years old
Population estimates from 1926,1996,7,2,Female,Number,26758,0-14 years old
Population estimates from 1926,1996,8,1,Male,Number,29196,0-14 years old
Population estimates from 1926,1996,8,2,Female,Number,28115,0-14 years old
Population estimates from 1926,1996,9,1,Male,Number,31177,0-14 years old
Population estimates from 1926,1996,9,2,Female,Number,29151,0-14 years old
Population estimates from 1926,1996,10,1,Male,Number,31476,0-14 years old
Population estimates from 1926,1996,10,2,Female,Number,29942,0-14 years old
Population estimates from 1926,1996,11,1,Male,Number,32124,0-14 years old
Population estimates from 1926,1996,11,2,Female,Number,30186,0-14 years old
Population estimates from 1926,1996,12,1,Male,Number,33186,0-14 years old
Population estimates from 1926,1996,12,2,Female,Number,31501,0-14 years old
Population estimates from 1926,1996,13,1,Male,Number,34820,0-14 years old
Population estimates from 1926,1996,13,2,Female,Number,33098,0-14 years old
Population estimates from 1926,1996,14,1,Male,Number,35771,0-14 years old
Population estimates from 1926,1996,14,2,Female,Number,33983,0-14 years old
Population estimates from 1926,1996,15,1,Male,Number,36884,15-24 years old
Population estimates from 1926,1996,15,2,Female,Number,34848,15-24 years old
Population estimates from 1926,1996,16,1,Male,Number,37068,15-24 years old
Population estimates from 1926,1996,16,2,Female,Number,34816,15-24 years old
Population estimates from 1926,1996,17,1,Male,Number,34985,15-24 years old
Population estimates from 1926,1996,17,2,Female,Number,33947,15-24 years old
Population estimates from 1926,1996,18,1,Male,Number,33339,15-24 years old
Population estimates from 1926,1996,18,2,Female,Number,31746,15-24 years old
Population estimates from 1926,1996,19,1,Male,Number,31674,15-24 years old
Population estimates from 1926,1996,19,2,Female,Number,30229,15-24 years old
Population estimates from 1926,1996,20,1,Male,Number,31424,15-24 years old
Population estimates from 1926,1996,20,2,Female,Number,29849,15-24 years old
Population estimates from 1926,1996,21,1,Male,Number,30767,15-24 years old
Population estimates from 1926,1996,21,2,Female,Number,29452,15-24 years old
Population estimates from 1926,1996,22,1,Male,Number,29618,15-24 years old
Population estimates from 1926,1996,22,2,Female,Number,28783,15-24 years old
Population estimates from 1926,1996,23,1,Male,Number,29296,15-24 years old
Population estimates from 1926,1996,23,2,Female,Number,28467,15-24 years old
Population estimates from 1926,1996,24,1,Male,Number,28038,15-24 years old
Population estimates from 1926,1996,24,2,Female,Number,27660,15-24 years old
Population estimates from 1926,1996,25,1,Male,Number,27370,25-44 years old
Population estimates from 1926,1996,25,2,Female,Number,26956,25-44 years old
Population estimates from 1926,1996,26,1,Male,Number,26355,25-44 years old
Population estimates from 1926,1996,26,2,Female,Number,26258,25-44 years old
Population estimates from 1926,1996,27,1,Male,Number,25412,25-44 years old
Population estimates from 1926,1996,27,2,Female,Number,25228,25-44 years old
Population estimates from 1926,1996,28,1,Male,Number,24825,25-44 years old
Population estimates from 1926,1996,28,2,Female,Number,25463,25-44 years old
Population estimates from 1926,1996,29,1,Male,Number,25401,25-44 years old
Population estimates from 1926,1996,29,2,Female,Number,25777,25-44 years old
Population estimates from 1926,1996,30,1,Male,Number,25253,25-44 years old
Population estimates from 1926,1996,30,2,Female,Number,26276,25-44 years old
Population estimates from 1926,1996,31,1,Male,Number,25652,25-44 years old
Population estimates from 1926,1996,31,2,Female,Number,26947,25-44 years old
Population estimates from 1926,1996,32,1,Male,Number,25788,25-44 years old
Population estimates from 1926,1996,32,2,Female,Number,26919,25-44 years old
Population estimates from 1926,1996,33,1,Male,Number,25788,25-44 years old
Population estimates from 1926,1996,33,2,Female,Number,26819,25-44 years old
Population estimates from 1926,1996,34,1,Male,Number,25254,25-44 years old
Population estimates from 1926,1996,34,2,Female,Number,26233,25-44 years old
Population estimates from 1926,1996,35,1,Male,Number,26017,25-44 years old
Population estimates from 1926,1996,35,2,Female,Number,26952,25-44 years old
Population estimates from 1926,1996,36,1,Male,Number,25304,25-44 years old
Population estimates from 1926,1996,36,2,Female,Number,26117,25-44 years old
Population estimates from 1926,1996,37,1,Male,Number,24901,25-44 years old
Population estimates from 1926,1996,37,2,Female,Number,25356,25-44 years old
Population estimates from 1926,1996,38,1,Male,Number,24826,25-44 years old
Population estimates from 1926,1996,38,2,Female,Number,25660,25-44 years old
Population estimates from 1926,1996,39,1,Male,Number,25092,25-44 years old
Population estimates from 1926,1996,39,2,Female,Number,25451,25-44 years old
Population estimates from 1926,1996,40,1,Male,Number,24451,25-44 years old
Population estimates from 1926,1996,40,2,Female,Number,24668,25-44 years old
Population estimates from 1926,1996,41,1,Male,Number,24627,25-44 years old
Population estimates from 1926,1996,41,2,Female,Number,24733,25-44 years old
Population estimates from 1926,1996,42,1,Male,Number,23672,25-44 years old
Population estimates from 1926,1996,42,2,Female,Number,23933,25-44 years old
Population estimates from 1926,1996,43,1,Male,Number,24333,25-44 years old
Population estimates from 1926,1996,43,2,Female,Number,24317,25-44 years old
Population estimates from 1926,1996,44,1,Male,Number,22981,25-44 years old
Population estimates from 1926,1996,44,2,Female,Number,22726,25-44 years old
Population estimates from 1926,1996,45,1,Male,Number,22930,45-64 years old
Population estimates from 1926,1996,45,2,Female,Number,22591,45-64 years old
Population estimates from 1926,1996,46,1,Male,Number,22719,45-64 years old
Population estimates from 1926,1996,46,2,Female,Number,22879,45-64 years old
Population estimates from 1926,1996,47,1,Male,Number,22942,45-64 years old
Population estimates from 1926,1996,47,2,Female,Number,22718,45-64 years old
Population estimates from 1926,1996,48,1,Male,Number,22774,45-64 years old
Population estimates from 1926,1996,48,2,Female,Number,22003,45-64 years old
Population estimates from 1926,1996,49,1,Male,Number,22451,45-64 years old
Population estimates from 1926,1996,49,2,Female,Number,21393,45-64 years old
Population estimates from 1926,1996,50,1,Male,Number,21653,45-64 years old
Population estimates from 1926,1996,50,2,Female,Number,20962,45-64 years old
Population estimates from 1926,1996,51,1,Male,Number,19579,45-64 years old
Population estimates from 1926,1996,51,2,Female,Number,19119,45-64 years old
Population estimates from 1926,1996,52,1,Male,Number,18881,45-64 years old
Population estimates from 1926,1996,52,2,Female,Number,18187,45-64 years old
Population estimates from 1926,1996,53,1,Male,Number,17991,45-64 years old
Population estimates from 1926,1996,53,2,Female,Number,17801,45-64 years old
Population estimates from 1926,1996,54,1,Male,Number,16714,45-64 years old
Population estimates from 1926,1996,54,2,Female,Number,15760,45-64 years old
Population estimates from 1926,1996,55,1,Male,Number,15963,45-64 years old
Population estimates from 1926,1996,55,2,Female,Number,15372,45-64 years old
Population estimates from 1926,1996,56,1,Male,Number,16416,45-64 years old
Population estimates from 1926,1996,56,2,Female,Number,15822,45-64 years old
Population estimates from 1926,1996,57,1,Male,Number,15717,45-64 years old
Population estimates from 1926,1996,57,2,Female,Number,15392,45-64 years old
Population estimates from 1926,1996,58,1,Male,Number,14698,45-64 years old
Population estimates from 1926,1996,58,2,Female,Number,14481,45-64 years old
Population estimates from 1926,1996,59,1,Male,Number,15015,45-64 years old
Population estimates from 1926,1996,59,2,Female,Number,14931,45-64 years old
Population estimates from 1926,1996,60,1,Male,Number,14532,45-64 years old
Population estimates from 1926,1996,60,2,Female,Number,14572,45-64 years old
Population estimates from 1926,1996,61,1,Male,Number,13920,45-64 years old
Population estimates from 1926,1996,61,2,Female,Number,14040,45-64 years old
Population estimates from 1926,1996,62,1,Male,Number,13757,45-64 years old
Population estimates from 1926,1996,62,2,Female,Number,13673,45-64 years old
Population estimates from 1926,1996,63,1,Male,Number,13438,45-64 years old
Population estimates from 1926,1996,63,2,Female,Number,13694,45-64 years old
Population estimates from 1926,1996,64,1,Male,Number,13043,45-64 years old
Population estimates from 1926,1996,64,2,Female,Number,13277,45-64 years old
Population estimates from 1926,1996,65,1,Male,Number,12982,65 and over
Population estimates from 1926,1996,65,2,Female,Number,13505,65 and over
Population estimates from 1926,1996,66,1,Male,Number,12722,65 and over
Population estimates from 1926,1996,66,2,Female,Number,13496,65 and over
Population estimates from 1926,1996,67,1,Male,Number,11994,65 and over
Population estimates from 1926,1996,67,2,Female,Number,13174,65 and over
Population estimates from 1926,1996,68,1,Male,Number,11269,65 and over
Population estimates from 1926,1996,68,2,Female,Number,13100,65 and over
Population estimates from 1926,1996,69,1,Male,Number,11289,65 and over
Population estimates from 1926,1996,69,2,Female,Number,13278,65 and over
Population estimates from 1926,1996,70,1,Male,Number,10853,65 and over
Population estimates from 1926,1996,70,2,Female,Number,13063,65 and over
Population estimates from 1926,1996,71,1,Male,Number,10615,65 and over
Population estimates from 1926,1996,71,2,Female,Number,12824,65 and over
Population estimates from 1926,1996,72,1,Male,Number,10084,65 and over
Population estimates from 1926,1996,72,2,Female,Number,12469,65 and over
Population estimates from 1926,1996,73,1,Male,Number,9669,65 and over
Population estimates from 1926,1996,73,2,Female,Number,12512,65 and over
Population estimates from 1926,1996,74,1,Male,Number,8903,65 and over
Population estimates from 1926,1996,74,2,Female,Number,11550,65 and over
Population estimates from 1926,1996,75,1,Male,Number,8677,65 and over
Population estimates from 1926,1996,75,2,Female,Number,11480,65 and over
Population estimates from 1926,1996,76,1,Male,Number,7953,65 and over
Population estimates from 1926,1996,76,2,Female,Number,10797,65 and over
Population estimates from 1926,1996,77,1,Male,Number,6953,65 and over
Population estimates from 1926,1996,77,2,Female,Number,9657,65 and over
Population estimates from 1926,1996,78,1,Male,Number,5842,65 and over
Population estimates from 1926,1996,78,2,Female,Number,8236,65 and over
Population estimates from 1926,1996,79,1,Male,Number,5803,65 and over
Population estimates from 1926,1996,79,2,Female,Number,8699,65 and over
Population estimates from 1926,1996,80,1,Male,Number,5285,65 and over
Population estimates from 1926,1996,80,2,Female,Number,7907,65 and over
Population estimates from 1926,1996,81,1,Male,Number,4781,65 and over
Population estimates from 1926,1996,81,2,Female,Number,7833,65 and over
Population estimates from 1926,1996,82,1,Male,Number,4107,65 and over
Population estimates from 1926,1996,82,2,Female,Number,7092,65 and over
Population estimates from 1926,1996,83,1,Male,Number,3652,65 and over
Population estimates from 1926,1996,83,2,Female,Number,6389,65 and over
Population estimates from 1926,1996,84,1,Male,Number,3249,65 and over
Population estimates from 1926,1996,84,2,Female,Number,5476,65 and over
Population estimates from 1926,1996,85,1,Male,Number,2542,65 and over
Population estimates from 1926,1996,85,2,Female,Number,4862,65 and over
Population estimates from 1926,1996,86,1,Male,Number,1975,65 and over
Population estimates from 1926,1996,86,2,Female,Number,4026,65 and over
Population estimates from 1926,1996,87,1,Male,Number,1498,65 and over
Population estimates from 1926,1996,87,2,Female,Number,3253,65 and over
Population estimates from 1926,1996,88,1,Male,Number,1154,65 and over
Population estimates from 1926,1996,88,2,Female,Number,2608,65 and over
Population estimates from 1926,1996,89,1,Male,Number,894,65 and over
Population estimates from 1926,1996,89,2,Female,Number,2240,65 and over
Population estimates from 1926,1996,90,1,Male,Number,695,65 and over
Population estimates from 1926,1996,90,2,Female,Number,1822,65 and over
Population estimates from 1926,1996,91,1,Male,Number,562,65 and over
Population estimates from 1926,1996,91,2,Female,Number,1398,65 and over
Population estimates from 1926,1996,92,1,Male,Number,348,65 and over
Population estimates from 1926,1996,92,2,Female,Number,1117,65 and over
Population estimates from 1926,1996,93,1,Male,Number,270,65 and over
Population estimates from 1926,1996,93,2,Female,Number,841,65 and over
Population estimates from 1926,1996,94,1,Male,Number,208,65 and over
Population estimates from 1926,1996,94,2,Female,Number,572,65 and over
Population estimates from 1926,1996,95,1,Male,Number,132,65 and over
Population estimates from 1926,1996,95,2,Female,Number,467,65 and over
Population estimates from 1926,1996,96,1,Male,Number,94,65 and over
Population estimates from 1926,1996,96,2,Female,Number,268,65 and over
Population estimates from 1926,1996,97,1,Male,Number,57,65 and over
Population estimates from 1926,1996,97,2,Female,Number,183,65 and over
Population estimates from 1926,1996,98,1,Male,Number,25,65 and over
Population estimates from 1926,1996,98,2,Female,Number,117,65 and over
Population estimates from 1926,1996,99,1,Male,Number,116,65 and over
Population estimates from 1926,1996,99,2,Female,Number,319,65 and over
Population estimates from 1926,1997,0,1,Male,Number,26077,0-14 years old
Population estimates from 1926,1997,0,2,Female,Number,24414,0-14 years old
Population estimates from 1926,1997,1,1,Male,Number,25610,0-14 years old
Population estimates from 1926,1997,1,2,Female,Number,23986,0-14 years old
Population estimates from 1926,1997,2,1,Male,Number,25203,0-14 years old
Population estimates from 1926,1997,2,2,Female,Number,23833,0-14 years old
Population estimates from 1926,1997,3,1,Male,Number,25580,0-14 years old
Population estimates from 1926,1997,3,2,Female,Number,24109,0-14 years old
Population estimates from 1926,1997,4,1,Male,Number,26209,0-14 years old
Population estimates from 1926,1997,4,2,Female,Number,25007,0-14 years old
Population estimates from 1926,1997,5,1,Male,Number,27536,0-14 years old
Population estimates from 1926,1997,5,2,Female,Number,26345,0-14 years old
Population estimates from 1926,1997,6,1,Male,Number,28594,0-14 years old
Population estimates from 1926,1997,6,2,Female,Number,26901,0-14 years old
Population estimates from 1926,1997,7,1,Male,Number,28508,0-14 years old
Population estimates from 1926,1997,7,2,Female,Number,27168,0-14 years old
Population estimates from 1926,1997,8,1,Male,Number,28184,0-14 years old
Population estimates from 1926,1997,8,2,Female,Number,27018,0-14 years old
Population estimates from 1926,1997,9,1,Male,Number,29401,0-14 years old
Population estimates from 1926,1997,9,2,Female,Number,28274,0-14 years old
Population estimates from 1926,1997,10,1,Male,Number,31329,0-14 years old
Population estimates from 1926,1997,10,2,Female,Number,29322,0-14 years old
Population estimates from 1926,1997,11,1,Male,Number,31729,0-14 years old
Population estimates from 1926,1997,11,2,Female,Number,29989,0-14 years old
Population estimates from 1926,1997,12,1,Male,Number,32206,0-14 years old
Population estimates from 1926,1997,12,2,Female,Number,30335,0-14 years old
Population estimates from 1926,1997,13,1,Male,Number,33264,0-14 years old
Population estimates from 1926,1997,13,2,Female,Number,31584,0-14 years old
Population estimates from 1926,1997,14,1,Male,Number,35019,0-14 years old
