STATISTIC Label,Year,Age Group,Sex,Inward or Outward Flow,UNIT,VALUE
Estimated Migration (Persons in April),1996,0 - 14 years,Female,Net migration,Thousand,3000.0
Estimated Migration (Persons in April),1996,0 - 14 years,Female,Emigrants: All destinations,Thousand,600.0
Estimated Migration (Persons in April),1996,0 - 14 years,Female,Immigrants: All origins,Thousand,3600.0
Estimated Migration (Persons in April),1996,0 - 14 years,Male,Net migration,Thousand,2700.0
Estimated Migration (Persons in April),1996,0 - 14 years,Male,Emigrants: All destinations,Thousand,400.0
Estimated Migration (Persons in April),1996,0 - 14 years,Male,Immigrants: All origins,Thousand,3100.0
Estimated Migration (Persons in April),1996,15 - 24 years,Female,Net migration,Thousand,-4999.999999999999
Estimated Migration (Persons in April),1996,15 - 24 years,Female,Emigrants: All destinations,Thousand,11700.0
Estimated Migration (Persons in April),1996,15 - 24 years,Female,Immigrants: All origins,Thousand,6700.0
Estimated Migration (Persons in April),1996,15 - 24 years,Male,Net migration,Thousand,-5600.000000000001
Estimated Migration (Persons in April),1996,15 - 24 years,Male,Emigrants: All destinations,Thousand,9800.0
Estimated Migration (Persons in April),1996,15 - 24 years,Male,Immigrants: All origins,Thousand,4200.0
Estimated Migration (Persons in April),1996,25 - 44 years,Female,Net migration,Thousand,5100.0
Estimated Migration (Persons in April),1996,25 - 44 years,Female,Emigrants: All destinations,Thousand,3000.0
Estimated Migration (Persons in April),1996,25 - 44 years,Female,Immigrants: All origins,Thousand,8100.0
Estimated Migration (Persons in April),1996,25 - 44 years,Male,Net migration,Thousand,3599.9999999999995
Estimated Migration (Persons in April),1996,25 - 44 years,Male,Emigrants: All destinations,Thousand,5100.0
Estimated Migration (Persons in April),1996,25 - 44 years,Male,Immigrants: All origins,Thousand,8700.0
Estimated Migration (Persons in April),1996,45 - 64 years,Female,Net migration,Thousand,600.0000000000001
Estimated Migration (Persons in April),1996,45 - 64 years,Female,Emigrants: All destinations,Thousand,700.0
Estimated Migration (Persons in April),1996,45 - 64 years,Female,Immigrants: All origins,Thousand,1300.0
Estimated Migration (Persons in April),1996,45 - 64 years,Male,Net migration,Thousand,2200.0
Estimated Migration (Persons in April),1996,45 - 64 years,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1996,45 - 64 years,Male,Immigrants: All origins,Thousand,2200.0
Estimated Migration (Persons in April),1996,65 years and over,Female,Net migration,Thousand,600.0
Estimated Migration (Persons in April),1996,65 years and over,Female,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1996,65 years and over,Female,Immigrants: All origins,Thousand,600.0
Estimated Migration (Persons in April),1996,65 years and over,Male,Net migration,Thousand,600.0
Estimated Migration (Persons in April),1996,65 years and over,Male,Emigrants: All destinations,Thousand,0.0
Estimated Migration (Persons in April),1996,65 years and over,Male,Immigrants: All origins,Thousand,600.0
Estimated Migration (Persons in April),1997,0 - 14 years,Female,Net migration,Thousand,3300.0
Estimated Migration (Persons in April),1997,0 - 14 years,Female,Emigrants: All destinations,Thousand,200.0
Estimated Migration (Persons in April),1997,0 - 14 years,Female,Immigrants: All origins,Thousand,3500.0
Estimated Migration (Persons in April),1997,0 - 14 years,Male,Net migration,Thousand,2800.0
Estimated Migration (Persons in April),1997,0 - 14 years,Male,Emigrants: All destinations,Thousand,100.0
