Year,Age category,Single Year of Age,UNIT,VALUE
2013,200,Under 1 year,Number,68583
2013,001,1 year,Number,71785
2013,002,2 years,Number,70638
2013,003,3 years,Number,71057
2013,004,4 years,Number,70956
2013,005,5 years,Number,71923
2013,006,6 years,Number,66561
2013,007,7 years,Number,65092
2013,008,8 years,Number,65035
2013,009,9 years,Number,64418
2013,010,10 years,Number,63531
2013,011,11 years,Number,62233
2013,012,12 years,Number,61009
2013,013,13 years,Number,60321
2013,014,14 years,Number,60767
2013,015,15 years,Number,59555
2013,016,16 years,Number,58103
2013,017,17 years,Number,55957
2013,018,18 years,Number,55485
2013,019,19 years,Number,55285
2013,020,20 years,Number,55635
2013,021,21 years,Number,54331
2013,022,22 years,Number,56510
2013,023,23 years,Number,55930
2013,024,24 years,Number,56487
2013,025,25 years,Number,58836
2013,026,26 years,Number,61342
2013,027,27 years,Number,64878
2013,028,28 years,Number,66844
2013,029,29 years,Number,69940
2013,030,30 years,Number,74977
2013,031,31 years,Number,77785
2013,032,32 years,Number,81150
2013,033,33 years,Number,80253
2013,034,34 years,Number,77200
2013,035,35 years,Number,74791
2013,036,36 years,Number,74178
2013,037,37 years,Number,73412
2013,038,38 years,Number,73109
2013,039,39 years,Number,71358
2013,040,40 years,Number,71454
2013,041,41 years,Number,69743
2013,042,42 years,Number,69186
2013,043,43 years,Number,67113
2013,044,44 years,Number,63532
2013,045,45 years,Number,62806
2013,046,46 years,Number,62236
2013,047,47 years,Number,61962
2013,048,48 years,Number,62451
2013,049,49 years,Number,60662
2013,050,50 years,Number,59038
2013,051,51 years,Number,57322
2013,052,52 years,Number,57705
2013,053,53 years,Number,55396
2013,054,54 years,Number,53317
2013,055,55 years,Number,52684
2013,056,56 years,Number,51499
2013,057,57 years,Number,49848
2013,058,58 years,Number,49515
2013,059,59 years,Number,47581
2013,060,60 years,Number,47682
2013,061,61 years,Number,45028
2013,062,62 years,Number,44183
2013,063,63 years,Number,43496
2013,064,64 years,Number,42804
2013,065,65 years,Number,41988
2013,066,66 years,Number,40246
2013,067,67 years,Number,38736
2013,068,68 years,Number,35470
2013,069,69 years,Number,33585
2013,070,70 years,Number,31561
2013,071,71 years,Number,28378
2013,072,72 years,Number,26901
2013,073,73 years,Number,26545
2013,074,74 years,Number,25301
2013,075,75 years,Number,23301
2013,076,76 years,Number,22472
2013,077,77 years,Number,21363
2013,078,78 years,Number,20118
2013,079,79 years,Number,19100
2013,080,80 years,Number,17121
2013,081,81 years,Number,15793
2013,082,82 years,Number,14903
2013,083,83 years,Number,13435
2013,084,84 years,Number,12130
2013,085,85 years,Number,10509
2013,086,86 years,Number,9262
2013,087,87 years,Number,8011
2013,088,88 years,Number,7284
2013,089,89 years,Number,6241
2013,090,90 years,Number,4858
2013,091,91 years,Number,3469
2013,092,92 years,Number,3041
2013,093,93 years,Number,2285
2013,094,94 years,Number,1637
2013,095,95 years,Number,1181
2013,096,96 years,Number,1011
2013,097,97 years,Number,669
2013,098,98 years,Number,429
2013,646,99 years and over,Number,852
2014,200,Under 1 year,Number,66935
2014,001,1 year,Number,67658
2014,002,2 years,Number,70776
2014,003,3 years,Number,69914
2014,004,4 years,Number,70075
2014,005,5 years,Number,72958
2014,006,6 years,Number,71172
2014,007,7 years,Number,67412
2014,008,8 years,Number,65353
2014,009,9 years,Number,65207
2014,010,10 years,Number,63957
2014,011,11 years,Number,63289
2014,012,12 years,Number,61999
2014,013,13 years,Number,60720
2014,014,14 years,Number,60091
2014,015,15 years,Number,60993
2014,016,16 years,Number,59478
2014,017,17 years,Number,58022
2014,018,18 years,Number,56673
2014,019,19 years,Number,55413
2014,020,20 years,Number,54712
2014,021,21 years,Number,54666
2014,022,22 years,Number,54355
2014,023,23 years,Number,56656
2014,024,24 years,Number,56254
2014,025,25 years,Number,56534
2014,026,26 years,Number,57401
2014,027,27 years,Number,62336
2014,028,28 years,Number,63901
2014,029,29 years,Number,65710
2014,030,30 years,Number,70047
2014,031,31 years,Number,74443
2014,032,32 years,Number,77507
2014,033,33 years,Number,80691
2014,034,34 years,Number,79791
2014,035,35 years,Number,76917
2014,036,36 years,Number,75490
2014,037,37 years,Number,73829
2014,038,38 years,Number,73154
2014,039,39 years,Number,72211
2014,040,40 years,Number,71363
2014,041,41 years,Number,71234
2014,042,42 years,Number,69407
2014,043,43 years,Number,68679
2014,044,44 years,Number,66678
2014,045,45 years,Number,63577
2014,046,46 years,Number,62637
2014,047,47 years,Number,62156
2014,048,48 years,Number,61879
2014,049,49 years,Number,62343
2014,050,50 years,Number,60511
2014,051,51 years,Number,58879
2014,052,52 years,Number,57153
2014,053,53 years,Number,57458
2014,054,54 years,Number,55230
2014,055,55 years,Number,53089
2014,056,56 years,Number,52055
2014,057,57 years,Number,51618
2014,058,58 years,Number,49618
2014,059,59 years,Number,49298
2014,060,60 years,Number,47234
2014,061,61 years,Number,47369
2014,062,62 years,Number,44723
2014,063,63 years,Number,43869
2014,064,64 years,Number,43199
2014,065,65 years,Number,42364
2014,066,66 years,Number,41584
2014,067,67 years,Number,39887
2014,068,68 years,Number,38277
2014,069,69 years,Number,35108
2014,070,70 years,Number,33073
2014,071,71 years,Number,31015
2014,072,72 years,Number,27849
2014,073,73 years,Number,26381
2014,074,74 years,Number,26079
2014,075,75 years,Number,24614
2014,076,76 years,Number,22546
2014,077,77 years,Number,21785
2014,078,78 years,Number,20677
2014,079,79 years,Number,19467
2014,080,80 years,Number,18221
2014,081,81 years,Number,16188
2014,082,82 years,Number,14977
2014,083,83 years,Number,14049
2014,084,84 years,Number,12683
2014,085,85 years,Number,11068
2014,086,86 years,Number,9383
2014,087,87 years,Number,8245
2014,088,88 years,Number,7131
2014,089,89 years,Number,6512
2014,090,90 years,Number,5088
2014,091,91 years,Number,3760
2014,092,92 years,Number,3200
2014,093,93 years,Number,2198
2014,094,94 years,Number,1790
2014,095,95 years,Number,1297
2014,096,96 years,Number,974
2014,097,97 years,Number,699
2014,098,98 years,Number,455
2014,646,99 years and over,Number,860
2015,200,Under 1 year,Number,64160
2015,001,1 year,Number,66275
2015,002,2 years,Number,66962
2015,003,3 years,Number,71010
2015,004,4 years,Number,69525
2015,005,5 years,Number,72892
2015,006,6 years,Number,72337
2015,007,7 years,Number,71109
2015,008,8 years,Number,67709
2015,009,9 years,Number,65285
2015,010,10 years,Number,64665
2015,011,11 years,Number,63667
2015,012,12 years,Number,63200
2015,013,13 years,Number,61939
2015,014,14 years,Number,60970
2015,015,15 years,Number,60593
2015,016,16 years,Number,61053
2015,017,17 years,Number,59470
2015,018,18 years,Number,59232
2015,019,19 years,Number,55785
2015,020,20 years,Number,55384
2015,021,21 years,Number,53913
2015,022,22 years,Number,54614
2015,023,23 years,Number,54511
2015,024,24 years,Number,57055
2015,025,25 years,Number,56500
2015,026,26 years,Number,56219
2015,027,27 years,Number,60777
2015,028,28 years,Number,61167
2015,029,29 years,Number,64025
2015,030,30 years,Number,66969
2015,031,31 years,Number,69865
2015,032,32 years,Number,74611
2015,033,33 years,Number,77375
2015,034,34 years,Number,80331
2015,035,35 years,Number,80051
2015,036,36 years,Number,78790
2015,037,37 years,Number,74964
2015,038,38 years,Number,73619
2015,039,39 years,Number,72351
2015,040,40 years,Number,72847
2015,041,41 years,Number,71375
2015,042,42 years,Number,71067
2015,043,43 years,Number,69213
2015,044,44 years,Number,68495
2015,045,45 years,Number,67392
2015,046,46 years,Number,63241
2015,047,47 years,Number,62619
2015,048,48 years,Number,62041
2015,049,49 years,Number,61715
2015,050,50 years,Number,62131
2015,051,51 years,Number,60282
2015,052,52 years,Number,58629
2015,053,53 years,Number,56930
2015,054,54 years,Number,57216
2015,055,55 years,Number,54951
2015,056,56 years,Number,52198
2015,057,57 years,Number,53046
2015,058,58 years,Number,50979
2015,059,59 years,Number,49380
2015,060,60 years,Number,49098
2015,061,61 years,Number,46801
2015,062,62 years,Number,47040
2015,063,63 years,Number,44385
2015,064,64 years,Number,43517
2015,065,65 years,Number,42829
2015,066,66 years,Number,42050
2015,067,67 years,Number,41280
2015,068,68 years,Number,39499
2015,069,69 years,Number,37908
2015,070,70 years,Number,34593
2015,071,71 years,Number,32493
2015,072,72 years,Number,30477
2015,073,73 years,Number,27367
2015,074,74 years,Number,25914
2015,075,75 years,Number,25329
2015,076,76 years,Number,23865
2015,077,77 years,Number,21878
2015,078,78 years,Number,21075
2015,079,79 years,Number,20023
2015,080,80 years,Number,18643
2015,081,81 years,Number,17278
2015,082,82 years,Number,15322
2015,083,83 years,Number,14202
2015,084,84 years,Number,13334
2015,085,85 years,Number,11584
2015,086,86 years,Number,9918
2015,087,87 years,Number,8406
2015,088,88 years,Number,7393
2015,089,89 years,Number,6370
2015,090,90 years,Number,5357
2015,091,91 years,Number,3962
2015,092,92 years,Number,3399
2015,093,93 years,Number,2275
2015,094,94 years,Number,1719
2015,095,95 years,Number,1368
